g0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	
g92	-0.21	0.36	1.13	-0.48	-0.14	-1.13	-3.81	-1.57	-1.22	-0.73	-0.18	-0.58	-1.21	-0.51	-1.09	-1.32	-1.37	0.63	0.61	-0.58	
g93	0.09	-3.29	-3.4	-2.21	-1.68	-5.68	-2.12	-1.44	-1.02	-1.07	-1.51	-1.38	-0.06	-0.93	-0.94	-0.36	-0.79	0.0	-0.38	-0.82	
g94	-0.87	-3.62	-5.97	-1.43	-0.58	0.04	-1.02	-0.01	3.96	0.6	-0.3	0.78	-0.51	-0.33	-0.07	-1.62	-2.26	-0.7	-0.42	-1.77	
g95	0.1	0.73	-1.01	3.2	0.91	-2.98	0.62	0.33	-0.62	-0.19	0.12	-0.48	1.36	0.32	0.23	-3.06	0.26	0.26	0.85	-1.05	
g96	-1.39	2.13	-3.48	-0.23	1.49	-2.04	0.08	0.25	1.07	4.17	-1.32	-0.68	1.32	-2.8	0.14	0.86	1.52	4.22	0.64	1.93	
g97	0.11	0.13	-0.87	-1.8	2.76	-0.42	0.2	-1.58	0.29	-0.49	-0.15	-0.38	0.98	-0.1	0.72	-1.62	-1.18	1.08	-0.7	-0.49	
g98	-2.99	0.47	-0.36	2.8	-3.19	-1.25	-1.25	-3.59	0.71	-0.67	-0.09	-0.56	0.5	-0.08	0.73	0.76	3.2	-0.38	-0.05	1.23	
g99	2.54	1.8	0.59	-1.26	-0.83	-0.9	0.52	-1.44	0.61	5.69	0.89	0.44	1.53	0.57	1.63	1.16	-0.05	1.46	0.59	-1.42	
g100	0.29	-0.75	-0.26	1.42	-0.68	-0.92	-1.8	-0.96	1.41	-0.72	-0.07	-0.24	-2.03	-0.31	3.4	0.24	1.36	-0.38	-0.35	-1.29	
g101	-0.86	1.45	3.15	-1.39	5.79	1.84	-0.3	1.24	-2.66	1.58	0.41	1.46	-1.93	0.03	-3.09	0.57	-2.8	-0.67	-0.08	0.43	
g102	0.3	-0.07	-0.36	-1.45	-0.43	0.76	-0.69	0.93	0.2	0.24	-0.56	0.07	-3.59	0.57	0.72	-0.02	-0.33	0.44	0.81	-0.56	
g103	0.81	-1.27	0.51	-1.15	1.13	0.52	-1.62	0.35	-0.22	-0.31	0.04	-0.58	-0.21	0.26	0.27	0.62	-0.56	-0.17	0.71	0.51	
g104	-0.47	-0.35	3.27	-1.97	0.58	0.01	0.4	-4.05	1.21	2.13	0.42	0.45	-0.82	-0.03	-0.56	2.41	-0.68	-0.31	0.34	0.33	
g105	1.07	1.41	1.1	1.06	0.83	-0.4	0.07	-0.74	-0.76	-0.44	-0.24	-0.72	-1.4	-0.61	0.17	-2.99	0.33	-0.14	0.39	-0.07	
g106	0.26	0.61	-0.07	0.09	2.77	1.42	-3.14	-0.18	1.42	1.94	1.12	0.93	-1.93	1.14	1.83	-1.42	0.54	-0.11	0.05	0.55	
g107	0.2	2.67	0.51	0.79	1.6	0.58	-1.09	1.12	0.32	0.32	-0.24	1.71	-0.7	-0.3	-3.56	-0.62	0.53	-0.78	-0.52	0.53	
g108	1.67	3.29	2.96	-0.8	-0.9	1.78	-2.44	-0.57	2.2	2.98	0.67	1.67	-0.18	-2.85	1.16	-1.56	-0.52	-0.08	1.01	0.54	
g109	2.79	-1.11	2.09	-0.71	0.6	-2.18	-2.16	2.85	-0.74	-0.97	0.21	-0.14	0.45	-0.22	-1.72	2.24	-2.9	-0.45	0.71	-4.21	
g110	1.69	0.42	0.86	-2.75	0.21	0.66	-0.94	1.0	1.25	-0.54	0.45	0.48	-1.93	2.61	0.19	2.48	-0.99	0.14	0.01	0.84	
g111	0.49	0.05	0.57	-1.87	-0.27	0.2	-2.91	-2.7	1.41	0.12	0.47	1.31	-0.52	-2.48	2.86	-1.07	-1.8	-0.86	-0.47	-7.53	
g112	-2.28	-1.3	-1.52	3.34	-3.34	-1.46	-2.35	0.73	1.51	-3.31	-1.03	3.88	0.25	-0.18	-3.5	1.23	0.57	-0.76	-0.85	-0.76	
g113	3.64	1.32	0.56	0.36	1.78	-0.93	-0.82	0.19	0.77	-1.32	0.11	0.91	-5.95	-0.83	0.35	4.61	0.52	-0.22	-2.13	-2.09	
g114	2.12	3.15	1.59	0.14	0.99	0.12	2.02	3.02	6.32	2.0	-0.06	0.63	-0.59	-2.82	-2.44	1.87	0.52	0.29	0.72	3.37	
g115	-0.48	-1.85	-0.2	-0.09	1.65	-1.16	-0.4	2.89	-0.52	-0.47	0.01	1.21	-2.02	0.94	-0.34	-0.12	2.21	0.02	1.14	3.77	
g116	0.0	1.38	-0.8	3.71	3.22	0.65	-0.97	2.77	0.3	1.85	0.55	0.83	1.34	-0.45	-0.74	0.89	-0.97	-0.49	0.68	-0.4	
g117	0.81	-0.76	-0.18	0.67	-2.53	-1.42	-1.21	3.88	-1.1	-0.36	-0.43	-0.41	-0.23	0.95	-0.11	1.65	-0.68	-0.13	0.1	-1.31	
g118	0.94	0.39	-0.93	-0.84	-0.19	0.51	-0.59	0.35	1.82	0.96	0.32	0.45	-1.37	-0.19	-1.3	0.97	-0.68	-0.52	0.14	-0.13	
g119	-1.59	-3.52	0.02	-1.93	-1.33	-0.7	-2.91	-1.93	-0.53	-0.16	-0.48	-0.62	-0.93	-0.61	-1.28	-1.9	-1.95	0.61	0.25	-1.49	
g120	0.68	0.51	1.37	-0.13	-0.12	2.28	-0.76	-0.61	-3.08	-0.43	0.16	0.11	4.32	-2.15	0.7	2.75	4.39	-0.55	0.24	0.4	
g121	2.19	-0.03	-1.74	0.76	1.12	-1.15	1.73	-0.19	3.39	1.04	0.77	0.96	1.8	0.25	-3.35	0.94	1.33	0.14	-0.83	1.34	
g122	4.85	0.05	2.46	-0.36	-2.05	1.38	-1.56	-0.15	1.16	-2.8	-0.44	-1.97	3.16	-3.87	-0.15	-3.62	0.16	1.14	-0.12	0.53	
g123	-2.27	1.41	1.86	-1.39	1.92	-1.88	0.73	2.2	-0.99	2.37	0.13	2.79	-0.92	-2.71	-0.11	-0.79	-0.41	1.13	2.2	-3.06	
g124	1.89	1.39	0.76	0.06	1.89	-0.62	-1.49	-0.44	1.03	2.35	-2.04	1.17	3.43	-0.24	0.31	0.9	0.2	-1.21	-4.5	0.88	
g125	1.91	2.78	3.07	-1.49	2.77	-0.31	-0.66	-0.96	-1.72	0.29	-1.29	-1.46	1.89	-1.63	1.16	1.21	2.51	-0.34	-0.46	-3.45	
g126	-1.06	0.95	-0.09	-0.06	1.24	-1.01	2.62	-0.49	1.37	-0.47	1.02	1.02	1.73	-1.89	2.63	4.74	0.55	0.26	0.31	1.51	
g127	0.94	1.6	-2.93	0.96	4.01	-0.61	-1.82	0.14	0.61	1.89	0.76	0.44	3.23	0.32	1.91	3.58	-1.36	0.94	0.06	1.18	
g128	0.91	0.14	-3.17	-0.73	0.93	-0.98	0.29	-0.98	1.46	-0.68	0.03	1.55	2.03	2.71	-2.79	-1.21	-0.39	-3.02	-0.13	-2.23	
g129	1.01	-1.08	-0.81	-1.71	-0.12	0.04	-1.17	0.2	0.76	0.35	0.33	0.17	-2.9	-0.07	-1.62	0.12	-0.79	-0.29	0.07	-1.11	
g130	0.65	0.31	-0.35	0.51	-3.8	-0.48	1.92	-2.35	-1.03	2.23	0.34	-0.27	-0.23	0.52	-0.78	-0.05	0.21	0.96	0.7	1.3	
g131	-0.98	1.21	-0.71	0.53	-0.04	-0.48	2.03	-0.9	-0.38	0.14	0.2	-0.49	0.55	-1.41	0.19	-0.58	0.08	0.15	0.39	0.29	
g132	0.97	-0.98	1.41	-1.66	-1.63	1.6	0.4	2.51	-1.66	0.37	1.67	-1.1	2.73	-0.85	3.07	1.07	0.29	0.14	-0.15	0.25	
g133	-0.73	4.25	-1.24	1.63	1.25	-0.14	-1.59	-1.33	0.16	3.26	-0.59	-2.78	2.9	-1.99	3.72	0.38	0.7	-0.23	0.28	1.48	
