,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
g2436,1.061052195252474711e-01,1.112595584708241797e-01,9.921150779708505507e-02,8.369581389028113438e-02,1.315288667693639280e-01,1.187553375914598836e-01,1.146223339410829545e-01,9.493756284040319460e-02,8.544924356549844779e-02,7.369022158211957496e-02,8.736447597830926393e-02,9.376618179706616707e-02,1.577841057202898634e-01,9.253510596917342845e-02,1.545426900941746229e-01,1.125508349272413694e-01,9.327394977741436388e-02,6.342660341674297153e-02,6.857722072462571483e-02,1.145267240769806266e-01
g2437,6.491414730144523526e-02,5.646843724218669758e-02,5.374618855037582160e-02,6.843446210742137881e-02,8.825428091446363421e-02,7.771329915624582141e-02,7.019303677581903433e-02,8.940385973555350918e-02,7.326082745084461223e-02,5.493369931191225547e-02,6.169799992315035120e-02,6.301101757738028497e-02,9.450473431441139271e-02,5.475625483913260788e-02,8.102827200333985458e-02,8.920128162471177569e-02,6.416378509275548481e-02,3.816603427550219196e-02,4.776737401858453108e-02,6.206531113695896995e-02
g2438,1.240856919111269496e-01,1.018306337033276776e-01,6.681849146696956787e-02,1.066909556026723604e-01,1.120804330209295846e-01,1.040058604427724631e-01,1.467067970944909150e-01,9.242701549127714522e-02,8.334518098177574885e-02,8.722410326143369141e-02,6.154535444654390258e-02,8.754520586052330633e-02,1.508310888913550474e-01,9.650514140812720132e-02,1.181853174448189020e-01,1.299303102695102963e-01,6.743262641820331471e-02,6.866176783699741437e-02,8.335036894394269591e-02,9.263724995511996019e-02
g2439,3.329114458114695169e-02,4.306392701146191659e-02,3.595869884236821412e-02,3.795580775132747359e-02,4.280582321555523317e-02,3.549185971395036471e-02,4.482501385550575340e-02,2.627412561209599082e-02,2.433568701157942660e-02,3.332462004951811108e-02,3.116823626291653770e-02,3.017474283913656671e-02,4.419977912060536751e-02,2.902193856521647838e-02,4.376398080601853063e-02,4.316558045955389694e-02,2.341162559180822583e-02,2.009361113068304852e-02,1.711565274367470371e-02,3.692975449300609642e-02
g2440,7.607368046113870130e-02,8.330061431128130134e-02,9.688564410783906400e-02,8.805923661066744623e-02,1.411413616068432908e-01,1.205850231599567279e-01,7.459633238516258369e-02,1.416205263625505140e-01,1.137049561716367563e-01,7.209119100601282804e-02,1.043920942389393175e-01,9.489368657256866402e-02,1.325914628149704733e-01,7.295211915353963517e-02,1.319314302814101059e-01,1.223390352786665192e-01,1.089369964196807428e-01,4.900754562908674061e-02,6.048342226280143535e-02,9.847968465083700718e-02
g2441,1.160750193206309677e-01,1.540418111540219903e-01,1.477626996364561629e-01,1.087682095299085105e-01,1.925601667603427103e-01,1.645929844235879402e-01,1.173630537055758288e-01,1.724683637345108544e-01,1.435494672809225214e-01,8.960731367901189626e-02,9.078366103724531955e-02,1.303977408070300104e-01,1.862166306401182858e-01,1.205850984677259291e-01,2.047457269861898688e-01,1.579377188747915495e-01,1.296858617470673658e-01,7.825644219663306644e-02,1.143837603915777157e-01,1.494083147391831734e-01
g2442,5.501190768540618198e-02,8.284337298023111695e-02,7.760131690551161365e-02,7.761312834661190929e-02,9.601909929887372797e-02,7.640788406426030077e-02,7.234272551471224166e-02,7.974657594254258575e-02,6.641770482209738424e-02,6.505088554635160558e-02,6.144119071460565906e-02,6.451956261324943986e-02,8.007955289366974760e-02,5.484836443748365709e-02,8.578920545705817635e-02,9.340810768968937916e-02,5.508466615111499987e-02,3.653973593983252804e-02,4.080107067745117333e-02,7.175259230106269259e-02
g2443,1.288548159794856152e-01,1.429648636832898390e-01,1.303478904760911605e-01,1.396825649465398278e-01,1.831358659734986793e-01,1.565500539394158452e-01,1.487789248215304616e-01,1.622059106767315684e-01,1.361663699096068436e-01,1.155422728908135077e-01,1.173258275411763196e-01,1.283316866933773004e-01,1.859761339548048620e-01,1.159131609431705151e-01,1.770552772996866198e-01,1.777939639568793528e-01,1.201505421937116569e-01,7.912136509799798378e-02,9.493810056543482145e-02,1.385767699719716861e-01
g2444,1.337578026856158786e-01,1.268425571634463345e-01,9.754809658647747850e-02,1.592052001810435047e-01,1.473026582631967729e-01,1.255788951061674319e-01,1.780641020991209633e-01,1.187671646722537611e-01,1.037350478015630351e-01,1.326093756013172476e-01,1.178739649908064624e-01,1.094792328996726238e-01,1.631528869803934578e-01,1.029432383609281271e-01,1.271015554283948246e-01,1.782117538394508982e-01,8.406608662889469841e-02,7.447166390030650340e-02,6.854447180166767239e-02,1.126537978539434159e-01
g2445,2.414731619635303653e-02,2.716562320552032284e-02,2.418782647196388719e-02,2.335092850987464594e-02,3.463439831217401954e-02,2.998383071774814168e-02,2.569990468756360932e-02,3.289013229372560881e-02,2.731582587786887673e-02,1.871864007292540003e-02,1.637154941498825816e-02,2.424697652649965632e-02,3.528695363976724897e-02,2.300322523691482324e-02,3.489919835651414393e-02,3.208197276289757177e-02,2.275964556829343857e-02,1.532440282616009779e-02,2.242514829017695083e-02,2.596003654922866485e-02
g2446,1.139996057605365265e-01,7.547853401575199683e-02,6.670818424197219598e-02,8.858851400617667737e-02,1.180566784866284996e-01,1.132923739712768663e-01,1.189365528817398626e-01,1.027868431279169298e-01,8.980243736475332361e-02,7.482529950157183751e-02,1.005800818266205932e-01,8.915615316978657556e-02,1.629529307451846876e-01,8.499998743407426172e-02,1.299446573983387976e-01,1.166374975916008583e-01,9.674808550370600502e-02,6.157390741898850078e-02,6.247595556841023523e-02,9.549409019831395229e-02
g2447,2.821755314320665842e-01,2.218612940448032034e-01,1.647936815051305459e-01,2.212545804730857157e-01,2.803784851922530019e-01,2.639611938710978434e-01,3.057475580165417983e-01,2.491326019819697091e-01,2.182958207548550966e-01,1.801952790755379230e-01,1.592402010702890225e-01,2.136961055112949481e-01,3.733598894491416131e-01,2.252256475122420554e-01,3.073083906436107626e-01,2.911557270321260549e-01,1.953072408423927042e-01,1.585354625043894905e-01,2.021124599169016323e-01,2.271083494588467810e-01
g2448,1.312149899492132121e-02,2.079356531154814836e-02,1.994867050090474297e-02,2.182826358701615843e-02,2.629155079044888377e-02,2.039775236285605586e-02,1.727173065424197906e-02,2.605190072420367903e-02,2.075981081290487890e-02,1.742590938981718879e-02,1.453016793302339821e-02,1.745675113496080594e-02,1.908175726765604791e-02,1.404740201166204683e-02,2.047661857112317851e-02,2.675096121916461026e-02,1.473742347476730136e-02,9.181968592793347816e-03,1.282259395685751702e-02,1.740654175563201289e-02
g2449,2.039739216209162098e-01,2.557710315758064956e-01,2.781876230035597031e-01,1.862859295622684153e-01,3.805524220283248993e-01,3.290816415128750005e-01,1.777247646487243871e-01,3.712444354931281332e-01,3.014229887477787306e-01,1.514754559991569605e-01,2.053087852341944075e-01,2.539201140669969936e-01,3.641454403052904465e-01,2.167463120919622122e-01,3.994346854674317715e-01,2.930269865773307836e-01,2.870302068331590517e-01,1.398429345726927009e-01,2.108473368886901178e-01,2.819105701573041967e-01
g2450,1.632594608724018681e-01,3.376539308844241360e-01,3.100678552097380081e-01,2.334662834866458314e-01,3.234930507098725538e-01,2.480236172156507490e-01,2.302664635604528554e-01,2.129901817855268109e-01,1.856434542094400619e-01,2.048717716643061182e-01,1.726883554845010382e-01,2.096296055100245193e-01,2.466336107612197293e-01,1.888988923487419924e-01,3.229455112477002676e-01,2.799409317210219683e-01,1.614274276757872162e-01,1.204369901935604670e-01,1.312371216260988516e-01,2.680961149706481139e-01
g2451,3.669670540076948317e-02,4.004627544976576553e-02,4.346682336292996551e-02,3.636524564308347279e-02,6.345143847201553666e-02,5.512475552472111129e-02,3.422026181631625946e-02,6.385531989050188817e-02,5.166618780081970452e-02,2.933670326869540837e-02,3.907809765078955333e-02,4.307473568749652787e-02,6.225544363495807282e-02,3.598060097180064143e-02,6.307343012734557830e-02,5.337599579442600661e-02,4.829922136099199653e-02,2.384236499000953399e-02,3.367253900859077526e-02,4.551127593192488829e-02
g2452,7.832263713158080232e-02,9.180163789475576097e-02,7.491644870172332882e-02,7.680595712082922966e-02,9.835148628160052253e-02,8.457184653829977194e-02,9.398017767442239101e-02,7.554279157947196843e-02,6.654555443106646706e-02,6.467851905793978173e-02,5.307694363251411890e-02,7.015450999385147712e-02,1.058598326177297710e-01,7.050134394762963552e-02,1.033858605240329381e-01,9.598151502515744893e-02,5.784168065870565895e-02,4.792349770951383897e-02,5.769882324931550205e-02,8.113509626574141875e-02
g2453,9.480662646925551440e-02,7.797290293922169713e-02,5.790034683431379697e-02,7.753070998369133993e-02,9.676582630472042867e-02,8.985548124005530990e-02,1.040173257494224623e-01,8.716727801698173628e-02,7.583655920610649082e-02,6.274854459188511369e-02,5.199257062773648269e-02,7.326783754699060791e-02,1.245184859551141110e-01,7.692306756609271212e-02,1.035895774208751147e-01,1.013546512876536410e-01,6.519463127609854969e-02,5.386015555550655032e-02,7.038299955528182217e-02,7.724406932259596237e-02
g2454,2.557233419096890947e-01,2.725969407126301869e-01,2.221538224167745879e-01,2.752646064269581583e-01,3.154190636062537134e-01,2.703687338716386224e-01,3.139807528217606336e-01,2.642886852966778166e-01,2.274867061526030798e-01,2.277892487884184136e-01,1.950773009449950357e-01,2.274767207214952458e-01,3.366746842853685084e-01,2.191094529515915657e-01,3.027840887028082073e-01,3.335767052047624581e-01,1.884063364687247610e-01,1.518524953275874056e-01,1.762497064473250441e-01,2.452573047713321186e-01
g2455,7.608678310908244258e-02,1.117772714389684147e-01,1.179709246995326588e-01,6.792537123052173886e-02,1.529471119734320816e-01,1.303024809368575621e-01,6.419452794121598138e-02,1.477750308418532832e-01,1.198883266998706926e-01,5.466596561381101976e-02,6.486382475561465466e-02,1.005549897224142647e-01,1.386847013110140414e-01,8.859725484216379732e-02,1.639719574475041741e-01,1.122376241112753859e-01,1.097931958215813270e-01,5.557263739707993255e-02,9.251553586519191408e-02,1.146556446322085920e-01
g2456,6.096782499942865474e-02,5.301270863382085557e-02,3.564998183819706457e-02,5.732323500573423963e-02,5.857472312144028359e-02,5.286697344647675600e-02,7.380360802027752243e-02,5.035495621211881490e-02,4.445360435749770578e-02,4.645447155102581244e-02,3.133338245161812474e-02,4.506748940693444672e-02,7.339415179133750022e-02,4.835245522819178049e-02,5.793779277927258581e-02,6.897364275324505134e-02,3.363618138945063951e-02,3.422623324509207338e-02,4.246053240207545154e-02,4.651450359589377054e-02
